0	0	-1.14018	-1.14018	1.14018	1.14018
0	0.125664	-1.17202	-1.10599	1.10599	1.17202
0	0.251327	-1.20122	-1.06981	1.06981	1.20122
0	0.376991	-1.22753	-1.03203	1.03203	1.22753
0	0.502655	-1.25073	-0.993081	0.993081	1.25073
0	0.628319	-1.27062	-0.953484	0.953484	1.27062
0	0.753982	-1.28706	-0.913819	0.913819	1.28706
0	0.879646	-1.29992	-0.874744	0.874744	1.29992
0	1.00531	-1.30911	-0.837	0.837	1.30911
0	1.13097	-1.31455	-0.801411	0.801411	1.31455
0	1.25664	-1.31622	-0.768875	0.768875	1.31622
0	1.3823	-1.3141	-0.74034	0.74034	1.3141
0	1.50796	-1.30819	-0.716758	0.716758	1.30819
0	1.63363	-1.29856	-0.699018	0.699018	1.29856
0	1.75929	-1.28526	-0.68786	0.68786	1.28526
0	1.88496	-1.2684	-0.683786	0.683786	1.2684
0	2.01062	-1.24809	-0.686985	0.686985	1.24809
0	2.13628	-1.22451	-0.697308	0.697308	1.22451
0	2.26195	-1.19784	-0.714288	0.714288	1.19784
0	2.38761	-1.1683	-0.73721	0.73721	1.1683
0	2.51327	-1.13616	-0.765196	0.765196	1.13616
0	2.63894	-1.10172	-0.797299	0.797299	1.10172
0	2.7646	-1.06533	-0.832568	0.832568	1.06533
0	2.89027	-1.02737	-0.870097	0.870097	1.02737
0	3.01593	-0.98832	-0.909053	0.909053	0.98832
0	3.14159	-0.948683	-0.948683	0.948683	0.948683
0	3.26726	-0.98832	-0.909053	0.909053	0.98832
0	3.39292	-1.02737	-0.870097	0.870097	1.02737
0	3.51858	-1.06533	-0.832568	0.832568	1.06533
0	3.64425	-1.10172	-0.797299	0.797299	1.10172
0	3.76991	-1.13616	-0.765196	0.765196	1.13616
0	3.89557	-1.1683	-0.73721	0.73721	1.1683
0	4.02124	-1.19784	-0.714288	0.714288	1.19784
0	4.1469	-1.22451	-0.697308	0.697308	1.22451
0	4.27257	-1.24809	-0.686985	0.686985	1.24809
0	4.39823	-1.2684	-0.683786	0.683786	1.2684
0	4.52389	-1.28526	-0.68786	0.68786	1.28526
0	4.64956	-1.29856	-0.699018	0.699018	1.29856
0	4.77522	-1.30819	-0.716758	0.716758	1.30819
0	4.90088	-1.3141	-0.74034	0.74034	1.3141
0	5.02655	-1.31622	-0.768875	0.768875	1.31622
0	5.15221	-1.31455	-0.801411	0.801411	1.31455
0	5.27788	-1.30911	-0.837	0.837	1.30911
0	5.40354	-1.29992	-0.874744	0.874744	1.29992
0	5.5292	-1.28706	-0.913819	0.913819	1.28706
0	5.65487	-1.27062	-0.953484	0.953484	1.27062
0	5.78053	-1.25073	-0.993081	0.993081	1.25073
