## m: 0.5, mu: 0
## ta: 0.3, tb: 0.3, tc: 0.3
## phi/pi: 0.3
## edge: 1, tbc: abs = 0, arg = 0 pi
# 1:k	2:n	3:E	4:|eiy|	5:arg(eiy)	6:yarg	7:<y>	8:<yuc>	9:<yproj>
# k=-1
-1	0	-1.41945	0.996543	0.177862	1.35877	1.35974	0.343412	1	0.999984
-1	1	-1.40027	0.995741	0.435596	3.32771	3.32807	1.34095	1	0.999955
-1	2	-1.36887	0.996056	0.699506	5.34383	5.34439	2.34459	1	0.999878
-1	3	-1.32607	0.996095	0.961551	7.34571	7.34632	3.34643	1	0.999668
-1	4	-1.27307	0.996094	1.22335	9.34569	9.34629	4.34634	1	0.999098
-1	5	-1.21139	0.996098	1.48516	11.3458	11.3464	5.34639	1	0.997553
-1	6	-1.14291	0.996098	1.74696	13.3458	13.3464	6.34639	1	0.993388
-1	7	-1.06988	0.996098	2.00876	15.3458	15.3464	7.34639	0.999998	0.982307
-1	8	-0.994894	0.996098	2.27056	17.3458	17.3464	8.34639	0.999934	0.953802
-1	9	-0.920912	0.996098	2.53236	19.3458	19.3464	9.34639	0.999902	0.886043
-1	10	-0.851194	0.996098	2.79416	21.3458	21.3464	10.3464	0.989733	0.749092
-1	11	-0.789315	0.996098	3.05596	23.3458	23.3464	11.3464	0.660128	0.537899
-1	12	-0.749864	0.996098	-2.96543	25.3458	25.3464	12.3464	0.00317878	0.311047
-1	13	-0.739966	0.996098	-2.70363	27.3458	27.3464	13.3464	0.000710784	0.146525
-1	14	-0.739605	0.996098	-2.44183	29.3458	29.3464	14.3464	2.36588e-05	0.0603334
-1	15	-0.722622	0.996098	-2.18003	31.3458	31.3464	15.3464	3.02321e-06	0.0232418
-1	16	-0.710882	0.996098	-1.91823	33.3458	33.3464	16.3464	6.3764e-07	0.00870423
-1	17	-0.693312	0.996099	-1.65643	35.3458	35.3464	17.3464	1.48293e-08	0.00322381
-1	18	-0.688732	0.996099	-1.39464	37.3458	37.3464	18.3464	8.2234e-09	0.00118899
-1	19	-0.668283	0.996101	-1.13284	39.3457	39.3463	19.3464	7.57525e-10	0.000437807
-1	20	-0.667728	0.996125	-0.871248	41.3442	41.3447	20.3453	4.73737e-11	0.000161236
-1	21	-0.653033	0.996108	-0.60924	43.3457	43.3463	21.3456	2.11108e-11	5.93078e-05
-1	22	-0.652428	0.997207	-0.35696	45.273	45.2727	22.3191	9.02558e-13	2.22084e-05
-1	23	-0.00607757	0.999203	-0.136997	46.9534	46.9527	22.9882	1.27788e-12	1.0402e-05
-1	24	0.71142	0	0	0	0	0	0	0
-1	25	1.35777	0	0	0	0	0	0	0
-1	26	1.35838	0	0	0	0	0	0	0
-1	27	1.37307	0	0	0	0	0	0	0
-1	28	1.37363	0	0	0	0	0	0	0
-1	29	1.39407	0	0	0	0	0	0	0
-1	30	1.39865	0	0	0	0	0	0	0
-1	31	1.41622	0	0	0	0	0	0	0
-1	32	1.42796	0	0	0	0	0	0	0
-1	33	1.44495	0	0	0	0	0	0	0
-1	34	1.44531	0	0	0	0	0	0	0
-1	35	1.45521	0	0	0	0	0	0	0
-1	36	1.49466	0	0	0	0	0	0	0
-1	37	1.55654	0	0	0	0	0	0	0
-1	38	1.62625	0	0	0	0	0	0	0
-1	39	1.70024	0	0	0	0	0	0	0
-1	40	1.77522	0	0	0	0	0	0	0
-1	41	1.84826	0	0	0	0	0	0	0
-1	42	1.91673	0	0	0	0	0	0	0
-1	43	1.97841	0	0	0	0	0	0	0
-1	44	2.03141	0	0	0	0	0	0	0
-1	45	2.07421	0	0	0	0	0	0	0
-1	46	2.10561	0	0	0	0	0	0	0
-1	47	2.12479	0	0	0	0	0	0	0
# k=-0.99
-0.99	0	-1.43585	0.995653	0.437899	3.3453	3.34569	1.35373	1	0.999955
-0.99	1	-1.41624	0.995963	0.701738	5.36088	5.36145	2.35666	1	0.999876
-0.99	2	-1.3841	0.996015	0.963848	7.36325	7.3639	3.35882	1	0.999663
-0.99	3	-1.34029	0.996013	1.22564	9.3632	9.36383	4.35872	1	0.999085
-0.99	4	-1.28596	0.996018	1.48745	11.3633	11.3639	5.35877	1	0.997518
-0.99	5	-1.22265	0.996018	1.74925	13.3633	13.3639	6.35877	1	0.993294
-0.99	6	-1.15222	0.996018	2.01105	15.3633	15.3639	7.35877	0.999998	0.982061
-0.99	7	-1.0769	0.996018	2.27285	17.3633	17.3639	8.35877	0.999929	0.953187
-0.99	8	-0.999287	0.996018	2.53465	19.3633	19.3639	9.35877	0.999903	0.884672
-0.99	9	-0.922303	0.996018	2.79645	21.3633	21.3639	10.3588	0.988996	0.74666
-0.99	10	-0.84919	0.996018	3.05825	23.3633	23.3639	11.3588	0.648725	0.534914
-0.99	11	-0.783405	0.996018	-2.96314	25.3633	25.3639	12.3588	0.00292537	0.308683
-0.99	12	-0.729001	0.996018	-2.70134	27.3633	27.3639	13.3588	0.000719662	0.145229
-0.99	13	-0.716562	0.996018	-2.43954	29.3633	29.3639	14.3588	2.6842e-05	0.0597646
-0.99	14	-0.708654	0.996017	-2.17774	31.3633	31.3639	15.3588	2.82387e-06	0.0230175
-0.99	15	-0.693571	0.996018	-1.91594	33.3633	33.3639	16.3588	7.05517e-07	0.00861956
-0.99	16	-0.688225	0.996008	-1.65413	35.3634	35.3641	17.3588	1.7575e-08	0.00319231
-0.99	17	-0.672045	0.996006	-1.39232	37.3635	37.3642	18.359	8.22887e-09	0.00117727
-0.99	18	-0.663427	0.995956	-1.13039	39.3645	39.3653	19.3589	9.86825e-10	0.000433559
